office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes
Lycée,Atar,Adrar,500,281,9,12,260,91,54,14,8,2,91
Ecole Loubeyrid,Keur Macène,Trarza,316,231,8,3,220,142,13,4,0,1,60
Ecole Syassa,Moudjeria,Tagant,444,181,8,1,172,144,4,3,0,0,21
Ecole Mbrimos,Aleg,Brakna,268,188,0,0,188,117,0,0,0,0,71
Elevage,Bassiknou,Hodh Chargui,379,158,8,0,150,95,23,5,2,1,24
Dioullom,Boghé,Brakna,339,234,2,5,227,73,9,3,140,1,1
Ecole Belghanar,Moudjeria,Tagant,372,253,6,0,247,164,3,1,0,1,78
Ecole Taif,Kiffa,Assaba,277,143,3,0,140,111,19,1,3,0,6
Dar Salama Aoulad Sidi,Boghé,Brakna,238,148,4,0,144,50,21,2,1,0,70
El Argoub 2,Tidjikja,Tagant,383,233,2,1,230,94,33,40,2,1,60
Ecole 2 Rass El Imane,Nouadhibou,Dakhlet Nouadhibou,513,277,0,4,273,140,41,6,12,1,73
Aeroport 1,Kaédi,Gorgol,410,290,2,0,288,96,145,6,16,2,23
Tevradit,Boumdeid,Assaba,109,106,0,4,102,101,0,0,0,0,1
Ecole Ould Bouna,El Mina,Nouakchott Sud,354,306,4,3,299,38,137,2,30,1,91
Tentregwej,Koubenni,Hodh El Gharbi,150,109,10,0,99,78,1,1,0,0,19
Hamdelaye,Boghé,Brakna,267,173,3,4,166,111,3,0,40,0,12
Selam Jam(disensaire,Dar Naïm,Nouakchott Nord,357,238,5,1,232,74,64,11,30,1,52
Mauriposte,Néma,Hodh Chargui,312,226,8,2,216,135,54,2,3,3,19
Ecole El Kouss,Aleg,Brakna,109,67,4,0,63,43,1,0,0,0,19
Ecole Saad,R'Kiz,Trarza,340,188,2,1,185,124,13,2,0,0,46
Ecole Amagué Ehle El Moukhtar,Ghabou,Guidimagha,522,365,2,0,363,208,84,1,0,0,70
Senhouri,Barkéol,Assaba,356,180,4,1,175,105,23,24,0,0,23
Ecole 4,Sebkha,Nouakchott Ouest,526,411,4,6,401,36,218,6,130,3,8
Dispensaire Koumba Ndaw,Ghabou,Guidimagha,386,215,14,4,197,85,95,3,8,0,6
El Mareh ecole,Tamcheket,Hodh El Gharbi,339,280,5,0,275,255,9,2,1,0,8
Raga,Boumdeid,Assaba,338,278,1,2,275,253,15,0,0,0,7
Lycée de Néma,Néma,Hodh Chargui,560,320,7,0,313,200,13,1,4,13,82
Ecole Cheikh Souleymane Ball,Sebkha,Nouakchott Ouest,545,270,11,5,254,78,75,13,61,1,26
Ecole Eychaya,Mederdra,Trarza,72,41,0,1,40,22,1,2,1,0,14
Collége Fdérik,F'Deirick,Tiris Zemmour,351,181,2,2,177,100,11,4,2,0,60
Medinet Noura,Néma,Hodh Chargui,137,117,6,1,110,107,0,1,0,2,0
