office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes
Rass Tarev,Tidjikja,Tagant,248,188,9,0,179,172,0,1,0,0,6
El Medhloum,Aïoun,Hodh El Gharbi,404,228,6,0,222,162,0,0,1,0,59
Ecole Bilal,Koubenni,Hodh El Gharbi,565,265,7,1,257,132,42,9,3,0,71
Ecole Rachid,Kiffa,Assaba,398,213,5,1,207,187,1,0,2,0,17
Ecole Aere M'Bar,Bababé,Brakna,419,258,6,6,246,60,29,5,149,0,3
Lycée,Atar,Adrar,501,236,6,6,224,98,32,5,4,0,85
Hotel de Ville,Teyaret,Nouakchott Nord,455,304,1,2,301,97,80,9,19,0,96
Ecole Khattri,Arafat,Nouakchott Sud,505,410,6,4,400,147,78,10,1,6,158
Bachat Dakhla,M'Bout,Gorgol,521,364,9,13,342,68,91,39,134,4,6
Bir El Barka,Aleg,Brakna,155,136,0,1,135,116,1,0,0,0,18
Belinabe,Kaédi,Gorgol,303,214,18,0,196,28,13,0,150,4,1
Interieur 1,Afrique,Etranger,282,215,13,0,202,43,136,0,3,1,19
Ecole 1 Bousreiouil,Barkéol,Assaba,312,133,5,5,123,89,20,2,1,0,11
Oum Gouffa,Timbedra,Hodh Chargui,303,185,0,1,184,125,0,1,0,5,53
Ecole Imam Ahmed,Dar Naïm,Nouakchott Nord,519,391,16,3,372,162,103,21,17,1,68
Ecole Tensoueilim 1,Dar Naïm,Nouakchott Nord,568,388,4,3,381,200,63,22,1,2,93
Interieur 2,Afrique,Etranger,487,157,5,6,146,27,55,0,59,0,5
Berele,Koubenni,Hodh El Gharbi,523,326,5,0,321,276,16,1,3,0,25
Ecole El Varae,Bababé,Brakna,385,167,5,1,161,75,63,0,2,0,21
Ecole 4,Teyaret,Nouakchott Nord,560,297,11,0,286,105,39,26,6,7,103
Ecole Varess,Aoujeft,Adrar,159,117,4,2,111,89,1,9,0,0,12
Interieur 3,Afrique,Etranger,289,55,1,1,53,22,21,0,1,0,9
ECOLE TOULDE,Kaédi,Gorgol,592,423,29,0,394,44,79,0,267,1,3
Ecole Touil,Djiguenni,Hodh Chargui,383,263,14,2,247,228,3,3,4,0,9
M'berre 2,Bassiknou,Hodh Chargui,512,324,0,3,321,268,13,32,0,1,7
El Metreiwagh,Bassiknou,Hodh Chargui,222,120,3,0,117,100,1,1,1,0,14
Beretouma,Bassiknou,Hodh Chargui,191,91,4,0,87,62,19,1,0,0,5
Laghdaf,Bassiknou,Hodh Chargui,378,179,7,2,170,159,4,0,0,0,7
Tentemlel,Tidjikja,Tagant,460,239,6,0,233,181,1,2,0,1,48
Laghdaf,Bassiknou,Hodh Chargui,377,199,1,1,197,161,3,0,0,0,33
Serdouba,Bassiknou,Hodh Chargui,355,175,5,9,161,123,19,2,4,0,13
Koussanna,Bassiknou,Hodh Chargui,553,277,8,3,266,199,60,2,0,1,4
Kendarla,Bassiknou,Hodh Chargui,460,225,5,4,216,155,31,1,1,0,28
Eljezira,Magtalahjar,Brakna,300,149,10,1,138,94,1,2,0,0,41
Hassi Ehl Mohamed Leely,Bassiknou,Hodh Chargui,203,142,3,0,139,120,0,0,0,0,19
Douane,Bassiknou,Hodh Chargui,373,156,4,0,152,108,6,0,1,1,36
Dispensaire,Bassiknou,Hodh Chargui,544,214,5,0,209,142,22,8,0,2,35
Hassi Ewlad Allouch,Bassiknou,Hodh Chargui,304,146,2,1,143,136,0,2,0,0,5
Djeibaba,M'Bout,Gorgol,296,201,14,0,187,110,46,0,15,0,16
Ecole,Bassiknou,Hodh Chargui,428,199,6,0,193,139,18,1,0,7,28
Ecole,Bassiknou,Hodh Chargui,429,223,10,0,213,166,10,0,0,6,31
Ghleiva,Bassiknou,Hodh Chargui,213,164,3,0,161,148,8,1,1,1,2
Interieur 4,Afrique,Etranger,226,83,2,1,80,11,23,0,17,3,26
Douane,Bassiknou,Hodh Chargui,372,144,1,1,142,99,5,2,1,0,35
El Amre,Ouad Naga,Trarza,462,274,4,5,265,175,2,4,1,0,83
Dispensaire,Bassiknou,Hodh Chargui,552,299,7,0,292,227,28,4,2,1,30
Dweirira,Bassiknou,Hodh Chargui,201,119,1,0,118,111,2,4,0,0,1
Dendara,Bassiknou,Hodh Chargui,152,118,1,0,117,116,0,0,0,0,1
Kerk,Bassiknou,Hodh Chargui,366,275,8,0,267,256,5,0,1,0,5
Ecole Ghered Ehel Issa Bewba,Kiffa,Assaba,348,286,2,1,283,267,6,1,0,1,8
Collège Mata Moulana,R'Kiz,Trarza,395,205,10,1,194,133,21,7,1,0,32
Ecole Agweida,Aleg,Brakna,434,302,17,0,285,260,3,0,0,0,22
Ecole Leghveira,Djiguenni,Hodh Chargui,482,276,26,1,249,206,34,1,1,0,7
Ecole Daghveg,Barkéol,Assaba,546,395,9,0,386,153,205,0,1,0,27
Neamet Alleh,Koubenni,Hodh El Gharbi,465,230,3,0,227,157,4,1,0,0,65
Tenim Ecole,Ouad Naga,Trarza,372,145,12,4,129,74,11,3,1,0,40
Ecole 2 Boghé,Boghé,Brakna,375,267,2,5,260,92,91,6,64,0,7
Lycée,Arafat,Nouakchott Sud,565,339,6,2,331,158,65,10,25,2,71
Ecole Ely Chendhoura,Teyaret,Nouakchott Nord,524,387,9,3,375,138,112,12,41,3,69
Toueimirit,Timbedra,Hodh Chargui,339,112,1,1,110,106,0,0,0,2,2
Ecole 7,Nouadhibou,Dakhlet Nouadhibou,597,446,7,9,430,122,177,6,28,5,92
Ecole Guessaly,Aleg,Brakna,381,234,0,0,234,200,2,0,0,0,32
Ecole Tensoueilim 1,Dar Naïm,Nouakchott Nord,568,403,22,5,376,197,57,20,13,3,86
Collège 1,Arafat,Nouakchott Sud,576,375,13,2,360,148,42,37,6,3,124
Ecole El Okbe,Ouad Naga,Trarza,512,372,8,7,357,174,3,2,0,2,176
C.S.A,Kiffa,Assaba,308,141,17,1,123,49,25,3,2,0,44
El hassi,Koubenni,Hodh El Gharbi,344,122,0,1,121,70,5,2,1,1,42
Commune,Chinguitti,Adrar,372,166,9,1,156,91,21,13,1,1,29
Ecole Pompiers,Ksar,Nouakchott Ouest,564,407,32,2,373,181,66,5,12,1,108
Commune,Tintane,Hodh El Gharbi,490,251,9,0,242,200,8,6,1,1,26
Hsey El begratt,Ouad Naga,Trarza,276,172,10,6,156,57,1,14,1,0,83
Ecole 1 Achram,Moudjeria,Tagant,485,338,6,0,332,275,8,2,1,1,45
Ecole Maata Moulana,R'Kiz,Trarza,521,332,17,1,314,230,12,14,0,0,58
El Kedye,Magtalahjar,Brakna,339,230,5,0,225,171,1,0,0,0,53
Ecole Ely Chendhoura,Teyaret,Nouakchott Nord,524,221,7,2,212,90,52,16,18,1,35
Hotel de Ville,Kaédi,Gorgol,576,436,3,5,428,92,245,15,66,0,10
Ecole Amouratt,Teyaret,Nouakchott Nord,507,334,7,10,317,149,73,9,11,0,75
Lycée Tevragh-Zeina,Tevragh Zeina,Nouakchott Ouest,514,296,1,2,293,112,57,19,16,0,89
Lycée Excellence,Tevragh Zeina,Nouakchott Ouest,561,302,7,4,291,86,74,28,31,0,72
Collège Tegragh-Zeina,Tevragh Zeina,Nouakchott Ouest,565,309,5,4,300,116,40,30,13,2,99
Berbarra,Oualata,Hodh Chargui,164,133,4,0,129,111,1,0,0,3,14
Lycée Excellence,Tevragh Zeina,Nouakchott Ouest,561,302,7,4,291,86,74,28,31,0,72
Stade olympique,Tevragh Zeina,Nouakchott Ouest,594,440,10,4,426,236,59,30,17,1,83
Ecole Amouratt,Teyaret,Nouakchott Nord,504,362,7,3,352,195,44,42,0,0,71
CFPF,Tevragh Zeina,Nouakchott Ouest,578,386,19,6,361,97,133,18,32,0,81
Collège,Teyaret,Nouakchott Nord,516,282,6,7,269,115,58,14,4,2,76
Ecole Tevragh-Zeina,Tevragh Zeina,Nouakchott Ouest,487,317,5,7,305,158,38,22,23,2,62
Tentemlel,Tidjikja,Tagant,460,261,2,0,259,188,3,2,0,0,66
Stade olympique,Tevragh Zeina,Nouakchott Ouest,594,339,4,3,332,147,51,37,15,1,81
Lycée des Jeunes Filles,Tevragh Zeina,Nouakchott Ouest,579,392,3,11,378,155,98,17,20,0,88
Stade olympique,Tevragh Zeina,Nouakchott Ouest,594,454,14,3,437,207,69,26,24,2,109
Ecole Ibn Sina,Tevragh Zeina,Nouakchott Ouest,594,356,22,5,329,152,44,39,9,3,82
Direction des Domaines,Tevragh Zeina,Nouakchott Ouest,535,372,10,7,355,210,36,25,12,1,71
Techmamet,Timbedra,Hodh Chargui,105,62,0,1,61,24,0,1,0,0,36
Ecole Excellence,Tevragh Zeina,Nouakchott Ouest,581,263,7,3,253,113,33,36,4,0,67
Lycée des Jeunes Filles,Tevragh Zeina,Nouakchott Ouest,579,370,20,8,342,100,106,11,19,2,104
Ecole Legtoua,Djiguenni,Hodh Chargui,423,252,14,1,237,227,3,1,0,0,6
Collège Tegragh-Zeina,Tevragh Zeina,Nouakchott Ouest,565,318,9,2,307,138,46,42,8,0,73
Ecole Daghveg,Barkéol,Assaba,546,293,8,1,284,99,153,5,1,0,26
Ecole Mohamed Ould Tolba,Arafat,Nouakchott Sud,445,329,23,1,305,135,59,10,3,1,97
Lycée Excellence,Tevragh Zeina,Nouakchott Ouest,560,411,12,5,394,88,169,19,57,1,60
Taghaoumit,Oualata,Hodh Chargui,162,114,0,0,114,74,1,0,0,0,39
Tenzah,Kaédi,Gorgol,481,347,11,4,332,71,177,3,46,1,34
Inspection IDEN,Tevragh Zeina,Nouakchott Ouest,576,338,16,7,315,154,59,18,17,2,65
Ecole Ibn Sina,Tevragh Zeina,Nouakchott Ouest,594,408,5,6,397,232,30,12,7,2,114
Ecole Chavii,Tevragh Zeina,Nouakchott Ouest,584,291,6,2,283,138,54,25,5,1,60
Nouaoudar,Oualata,Hodh Chargui,312,222,1,0,221,182,2,0,0,1,36
Ecole 12 Wejah,Nouadhibou,Dakhlet Nouadhibou,530,392,9,3,380,50,237,4,49,1,39
CFPF,Tevragh Zeina,Nouakchott Ouest,594,248,4,1,243,85,56,23,14,1,64
Stade olympique,Tevragh Zeina,Nouakchott Ouest,594,282,0,2,280,136,41,26,13,3,61
Bedizguine,M'Bout,Gorgol,397,221,6,0,215,128,80,5,0,0,2
Belehenda,Koubenni,Hodh El Gharbi,365,133,3,0,130,114,2,7,0,3,4
Ecole Talhata,Teyaret,Nouakchott Nord,445,309,15,3,291,133,32,35,6,2,81
Ecole Labda,Aleg,Brakna,266,230,7,1,222,208,40,9,15,1,93
Ecole Chavii,Tevragh Zeina,Nouakchott Ouest,581,310,4,4,302,146,2,1,0,0,11
Commune,Chinguitti,Adrar,370,166,5,0,161,97,17,14,1,1,31
Ecole Arbae Teydoum,Kiffa,Assaba,355,142,4,0,138,100,32,0,0,0,6
Oueid Amour,M'Bout,Gorgol,369,175,12,1,162,105,47,1,2,1,6
Toueimiret El Hachia,Magtalahjar,Brakna,137,95,2,1,92,11,2,0,0,0,79
Ecole,Néma,Hodh Chargui,393,397,0,1,396,392,0,0,0,0,4
Maham Jereb,Tintane,Hodh El Gharbi,265,188,8,0,180,174,1,1,0,0,4
Ecole 8,Nouadhibou,Dakhlet Nouadhibou,548,398,9,3,386,132,108,7,46,3,90
Ecole 1 Achram,Moudjeria,Tagant,484,314,9,1,304,265,9,0,0,1,29
Ecole Lemden,Aleg,Brakna,373,274,2,0,272,256,3,2,1,0,10
Ecole 3,Teyaret,Nouakchott Nord,531,325,9,6,310,95,62,11,23,3,116
Ecole Tak,Maghama,Gorgol,337,229,11,3,215,40,61,13,91,0,10
Ecole El Medroum,Néma,Hodh Chargui,302,200,2,1,197,155,2,0,0,0,40
Ecole Cheikh Med El Hafedh,Arafat,Nouakchott Sud,477,343,6,1,336,178,25,7,1,3,122
Lycée,Chinguitti,Adrar,392,155,4,3,148,75,15,29,2,0,27
Belekhterat,Timbedra,Hodh Chargui,245,202,3,0,199,166,1,0,0,0,32
Ecole Leghlig,Kiffa,Assaba,566,308,3,0,305,231,50,2,0,0,22
Ecole Amricha,Moudjeria,Tagant,267,196,3,0,193,156,0,2,0,0,35
ECOLE TOULDE,Kaédi,Gorgol,499,377,6,13,358,36,69,1,249,1,2
Ecole Centrale de Foum Gleita,M'Bout,Gorgol,491,276,5,7,264,65,98,19,45,1,36
Oum Acheich,Bassiknou,Hodh Chargui,115,48,6,0,42,39,0,0,0,0,3
Ecole 10 El Moutevejeratt,Nouadhibou,Dakhlet Nouadhibou,498,425,7,6,412,53,226,6,59,4,64
Rachid,Tidjikja,Tagant,538,390,6,0,384,348,4,7,0,0,25
Ecole Centrale de Foum Gleita,M'Bout,Gorgol,491,314,10,6,298,82,77,22,60,5,52
Lycée,Chinguitti,Adrar,392,144,5,0,139,69,16,25,1,0,28
Neghaae,Koubenni,Hodh El Gharbi,194,118,5,0,113,92,0,1,0,0,20
Délegation Régionale MDR,Kiffa,Assaba,462,265,14,3,248,92,89,6,15,0,46
Ecole 10 El Moutevejeratt,Nouadhibou,Dakhlet Nouadhibou,476,361,6,2,353,73,147,10,59,0,64
Ecole El Varae,Bababé,Brakna,349,179,3,0,176,96,67,0,2,0,11
Ecole Rgueig,Bababé,Brakna,455,252,3,0,249,113,87,3,19,0,27
Ecole Bakar,Arafat,Nouakchott Sud,555,465,15,9,441,97,141,4,162,0,37
El Melzem,Bababé,Brakna,225,146,10,0,136,109,18,0,4,0,5
Ecole Oum Avnadech,Néma,Hodh Chargui,340,212,24,0,188,107,3,0,0,0,78
Ecole Lighatha,Djiguenni,Hodh Chargui,542,314,9,0,305,278,1,1,0,0,25
Ecole Timagazine,Chinguitti,Adrar,215,96,1,0,95,78,1,0,1,0,15
Ecole Ferrala,M'Bagne,Brakna,572,464,2,9,453,56,114,4,268,1,10
Ecole Nouara,Bababé,Brakna,357,237,2,0,235,159,11,0,15,0,50
Tawourta,Tidjikja,Tagant,196,168,2,0,166,163,0,0,0,0,3
Ecole El Basra,Moudjeria,Tagant,504,418,12,0,406,352,4,5,0,1,44
Mbeidi Oulad Ely,M'Bout,Gorgol,570,322,16,1,305,113,155,32,1,0,4
Dispensaire,Djiguenni,Hodh Chargui,557,368,7,1,360,321,1,3,0,0,35
Lycée,Teyaret,Nouakchott Nord,482,282,3,4,275,87,46,16,5,6,115
Libeh,Tintane,Hodh El Gharbi,441,198,3,1,194,171,2,2,0,5,14
Tredat Est,Koubenni,Hodh El Gharbi,451,284,3,0,281,127,1,104,1,2,46
Ecole 10 El Moutevejeratt,Nouadhibou,Dakhlet Nouadhibou,476,342,16,0,326,62,47,5,6,0,42
Tiberguent,Timbedra,Hodh Chargui,134,94,2,0,92,59,119,11,57,3,74
Dispensaire Toueimirett,Kiffa,Assaba,505,195,2,0,193,93,0,0,0,0,33
Ecole 2,Chinguitti,Adrar,528,219,4,0,215,134,25,26,1,5,24
Ecole Ganiadi,Kaédi,Gorgol,235,167,5,4,158,22,22,0,107,1,6
Ecole Sabou Alla,Bababé,Brakna,585,362,10,3,349,222,84,1,14,0,28
Ecole,Néma,Hodh Chargui,392,391,0,0,391,390,0,0,0,0,1
Ecole 1,Chinguitti,Adrar,530,174,1,2,171,87,27,22,4,1,30
Ecole 1 Dissegh,Barkéol,Assaba,507,295,4,1,290,177,33,33,8,2,37
Ecole Oudey El Gherbane,M'Bout,Gorgol,359,203,7,4,192,111,9,43,24,0,5
Ecole H'Meidit,Djiguenni,Hodh Chargui,304,249,7,7,235,221,2,1,0,0,11
Maison des Jeunes,Chinguitti,Adrar,445,117,2,0,115,44,16,17,1,4,33
Dispensaire Toueimirett,Kiffa,Assaba,507,222,21,0,201,113,51,2,2,1,32
Zoubeir,Néma,Hodh Chargui,102,65,1,0,64,56,4,0,0,0,4
Lemguyss,Tidjikja,Tagant,156,120,1,0,119,118,0,0,0,0,1
Collége  Excellence,Arafat,Nouakchott Sud,556,426,16,2,408,203,88,12,9,1,95
Mzeirig Oulad Taleb,M'Bout,Gorgol,373,261,9,3,249,74,144,3,22,2,4
Ecole Ntekmkemt,Chinguitti,Adrar,373,226,2,0,224,172,9,12,1,0,30
Tichoutene,Magtalahjar,Brakna,373,201,21,0,180,157,2,1,0,0,20
Hotel de Ville précedement Ecole 1 de M'Bagne,M'Bagne,Brakna,507,355,3,5,347,106,162,4,71,1,3
N'Djadjbenni Chorva,M'Bout,Gorgol,453,345,9,1,335,111,177,3,10,0,34
Voutni,Koubenni,Hodh El Gharbi,490,289,13,0,276,169,10,0,0,0,97
Ecole Dabbe,M'Bagne,Brakna,522,409,2,8,399,59,20,1,315,2,2
Betek Ehel El Yemani,M'Bout,Gorgol,317,188,8,0,180,58,108,2,0,0,12
Ecole Medina,Bababé,Brakna,420,277,6,3,268,155,62,0,32,0,19
Ecole Winding,M'Bagne,Brakna,518,379,6,15,358,58,54,2,210,1,33
Ecole 1,Kiffa,Assaba,469,242,5,3,234,164,28,11,4,1,26
ECOLE TOULDE,Kaédi,Gorgol,498,381,34,0,347,34,102,3,202,3,3
Collège 3,Arafat,Nouakchott Sud,460,289,6,6,277,94,37,31,0,3,112
Ecole Tijar,Barkéol,Assaba,422,307,9,0,298,188,86,2,2,1,19
Bassra Charghiya,Aïoun,Hodh El Gharbi,158,102,3,1,98,60,1,2,0,1,34
Hotel de Ville précedement Ecole 1 de M'Bagne,M'Bagne,Brakna,507,352,8,3,341,64,184,2,73,0,18
Betek Ehel El Yemani,M'Bout,Gorgol,316,204,5,0,199,72,115,0,0,1,11
Ecole Feirenni,Djiguenni,Hodh Chargui,366,211,10,1,200,164,14,3,1,0,18
Lycée,Tintane,Hodh El Gharbi,488,255,5,2,248,184,26,4,4,1,29
Ecole Boubaghja,Barkéol,Assaba,336,231,6,1,224,110,101,3,3,0,7
Rayane,Aïoun,Hodh El Gharbi,322,218,3,0,215,211,0,0,0,1,3
Ecole Dawlel,M'Bagne,Brakna,352,261,10,6,245,83,45,4,108,2,3
Dispensaire Dar El Barka,Teyaret,Nouakchott Nord,224,150,10,0,140,64,13,10,2,0,51
Ecole Aghoueidit,Moudjeria,Tagant,246,196,6,0,190,186,0,0,0,0,4
El Battha,Aïoun,Hodh El Gharbi,177,79,2,0,77,56,0,3,0,0,18
Lebrag,Keur Macène,Trarza,218,142,5,0,137,94,5,1,0,0,37
Tikobra,M'Bout,Gorgol,567,408,14,2,392,242,65,51,26,4,4
Ecole Aere Gollere,Bababé,Brakna,513,331,4,17,310,43,12,4,243,0,8
Ecole Haimedat,M'Bagne,Brakna,353,246,3,6,237,88,16,5,120,0,8
Ecole Dhou Noureine,Arafat,Nouakchott Sud,586,383,11,1,371,200,42,14,10,7,98
Lycée de M'Bagne,M'Bagne,Brakna,473,354,7,4,343,64,214,3,49,0,13
Ecole N'Djourbel,Rosso,Trarza,580,436,7,4,425,50,273,6,84,0,12
Khechem Elmegcem,Koubenni,Hodh El Gharbi,419,205,1,0,204,132,2,2,0,1,67
Ecole Tadressa,Magtalahjar,Brakna,489,351,29,0,322,242,14,0,0,0,66
Legneiba,M'Bout,Gorgol,538,293,17,2,274,108,73,41,19,1,32
Elevage,Aïoun,Hodh El Gharbi,393,234,13,0,221,111,46,5,0,0,59
Collège 3,Arafat,Nouakchott Sud,460,337,6,5,326,124,54,10,4,15,119
Ecole Feirenni,Djiguenni,Hodh Chargui,366,202,25,1,176,128,28,1,1,2,16
Maison des jeunes,Aïoun,Hodh El Gharbi,503,285,4,1,280,121,52,7,4,3,93
NOUVELLE ECOLE,Moudjeria,Tagant,264,177,9,1,167,126,12,0,2,0,27
Ecole Guidikhar,Rosso,Trarza,395,278,5,3,270,165,95,0,2,0,8
N'Djadjbenni Chorva,M'Bout,Gorgol,453,229,10,5,214,67,115,0,17,0,15
Dar El Kitab,Chinguitti,Adrar,383,74,1,1,72,39,7,11,0,1,14
Leghligue Sud école,Koubenni,Hodh El Gharbi,337,165,9,0,156,85,17,5,0,0,49
Ecole Lemden,Aleg,Brakna,371,264,9,0,255,233,5,5,1,0,11
Maison des Jeunes,Aleg,Brakna,473,295,7,8,280,82,60,7,38,2,91
Maison des Jeunes,Aleg,Brakna,474,197,12,3,182,66,39,4,8,2,63
Ecole Carrefour,Aleg,Brakna,511,354,44,0,310,233,35,1,0,1,40
Ecole Echgara,Rosso,Trarza,349,272,22,0,250,109,128,2,2,0,9
Ecole Bellewar,Kiffa,Assaba,351,211,4,0,207,166,16,0,4,0,21
Ehel Salem,M'Bout,Gorgol,551,334,2,3,329,89,207,5,4,0,24
Edmouche,Aïoun,Hodh El Gharbi,332,247,4,0,243,196,41,1,1,0,4
Oum Gouffa,Timbedra,Hodh Chargui,303,199,19,0,180,140,1,0,0,3,36
El ghoutoub,Koubenni,Hodh El Gharbi,493,231,2,1,228,124,2,1,0,7,94
Ecole Haimedat,M'Bagne,Brakna,353,264,3,5,256,88,27,2,128,1,10
Ecole Ejeck,Rosso,Trarza,304,246,7,0,239,126,89,3,10,0,11
Edebaye Ehel Guelay,M'Bout,Gorgol,463,305,6,0,299,106,186,2,1,0,4
Ecole Mohamed Ould Tolba,Arafat,Nouakchott Sud,445,318,6,0,312,143,59,7,2,2,99
Ecole Goueiwa,Magtalahjar,Brakna,374,244,3,4,237,156,19,2,0,1,59
N'saveni,Aïoun,Hodh El Gharbi,531,381,2,0,379,346,2,1,0,0,30
Ecole Mbotto,M'Bagne,Brakna,558,424,17,35,372,8,43,5,307,0,9
Djiguenne,Rosso,Trarza,88,78,3,1,74,33,28,1,1,0,11
Ehel Salem,M'Bout,Gorgol,551,299,13,0,286,95,154,5,7,1,24
Lycée,Aleg,Brakna,373,229,9,1,219,136,22,0,1,0,60
Ecole Niabina,M'Bagne,Brakna,492,326,5,8,313,63,93,4,149,0,4
El Mebdoua 2,Amourj,Hodh Chargui,390,233,3,1,229,225,0,0,0,1,3
Ecole Aere M'Bar,Bababé,Brakna,423,303,12,10,281,65,33,5,173,1,4
Ecole Bougadoum,Kiffa,Assaba,352,181,3,0,178,138,3,0,1,5,31
Ecole Berjeimat,Bennechab,Inchiri,153,120,1,2,117,99,2,1,0,0,15
Leghligue Sud école,Koubenni,Hodh El Gharbi,337,187,7,0,180,86,22,6,0,0,66
Dispensaire,Djiguenni,Hodh Chargui,377,167,10,0,157,133,7,2,0,0,15
Ecole Niabina,M'Bagne,Brakna,492,368,6,7,355,37,126,4,183,2,3
Doueirare 1,Aïoun,Hodh El Gharbi,445,313,4,0,309,281,10,1,2,0,15
Ecole El Heikel,Rosso,Trarza,122,72,1,0,71,48,3,1,0,1,18
Iguevane 2 Wad El Kheyr,Tidjikja,Tagant,172,129,1,1,127,35,2,1,0,0,89
Ecole Chelkhet Ehel Tfagha,Barkéol,Assaba,449,228,13,0,215,118,73,5,7,0,12
Dispensaire,Aleg,Brakna,441,220,9,3,208,117,0,5,1,3,82
Ecole Mbahe,M'Bagne,Brakna,310,251,8,7,236,46,25,1,154,3,7
Ecole Chiva,Kiffa,Assaba,451,258,24,0,234,184,0,0,0,4,46
Ecole N'Dawaldi Mango,M'Bagne,Brakna,380,270,10,11,249,18,72,0,156,1,2
Ecole Legdem,Rosso,Trarza,142,82,5,2,75,36,5,3,0,0,31
Ecole Sangrave,Magtalahjar,Brakna,411,222,33,1,188,102,18,0,0,2,66
Ecole Cheikh Sidi El Moctar,Riyad,Nouakchott Sud,427,299,10,2,287,42,155,11,34,0,45
Ecole Gleiguem,Riyad,Nouakchott Sud,599,412,15,4,393,136,146,6,50,1,54
Ecole El Haj El Mechri,Riyad,Nouakchott Sud,545,434,9,5,420,126,138,10,108,0,38
Ecole Gleiguem,Riyad,Nouakchott Sud,599,416,35,1,380,100,170,3,60,1,46
Collége 2,Riyad,Nouakchott Sud,475,347,3,7,337,66,111,8,108,1,43
Lycée,Riyad,Nouakchott Sud,525,413,10,7,396,45,166,5,154,1,25
Ecole El Medina,Riyad,Nouakchott Sud,499,330,17,1,312,98,83,6,41,1,83
Essavrah,Aïoun,Hodh El Gharbi,249,125,0,2,123,90,0,0,0,2,31
Ecole Souroumelli,M'Bagne,Brakna,540,300,10,11,279,126,47,1,99,1,5
Ecole Choueba,Néma,Hodh Chargui,218,128,5,0,123,53,0,0,0,0,70
Jar Tikifaya,Koubenni,Hodh El Gharbi,208,145,2,1,142,136,2,0,0,0,4
Jardin d'Enfants,Aleg,Brakna,464,277,7,2,268,85,33,25,7,0,118
Ecole 10 El Moutevejeratt,Nouadhibou,Dakhlet Nouadhibou,498,378,3,4,371,75,147,9,70,2,68
Ecole Bakar,Arafat,Nouakchott Sud,554,461,15,10,436,58,172,4,188,0,14
Ecole 1 Sayla,Néma,Hodh Chargui,230,170,0,0,170,159,2,1,0,2,6
Ecole Niabina,M'Bagne,Brakna,491,337,12,10,315,56,82,2,172,0,3
Ecole El Joumania,Djiguenni,Hodh Chargui,254,196,2,1,193,183,5,1,0,0,4
Collège 3,Arafat,Nouakchott Sud,459,338,13,4,321,104,67,21,3,7,119
Ten hemad,Aïoun,Hodh El Gharbi,459,276,7,1,268,212,3,10,0,0,43
Ecole Bougadoum,Kiffa,Assaba,352,170,4,0,166,127,3,4,0,0,32
Ecole Garlol,M'Bagne,Brakna,571,409,9,12,388,28,71,2,269,2,16
Benchab,Tichit,Tagant,147,104,1,0,103,101,0,1,0,0,1
DISPENSAIRE,Kaédi,Gorgol,376,288,8,7,273,28,144,5,95,0,1
Bouregdouna,M'Bagne,Brakna,219,171,5,2,164,54,27,0,78,0,5
Elvelanya,Koubenni,Hodh El Gharbi,433,308,13,0,295,197,7,1,6,0,84
Ecole Edebay El Hijaj,M'Bagne,Brakna,451,220,6,4,210,66,73,3,61,4,3
Ecole Edebay El Hijaj,M'Bagne,Brakna,451,244,5,13,226,58,103,7,51,0,7
Ecole Etine Belgherbane,M'Bagne,Brakna,97,63,8,0,55,30,19,3,2,0,1
Ecole 11,Nouadhibou,Dakhlet Nouadhibou,527,377,11,0,366,115,130,10,24,1,86
Eguevane,Tidjikja,Tagant,484,356,7,1,348,265,12,12,0,1,58
Ecole Djout,Magtalahjar,Brakna,335,249,8,1,240,191,8,1,0,0,40
Ecole 2 Sayla,Néma,Hodh Chargui,190,145,7,0,138,80,2,0,0,6,50
Ecole Tembass 2,Rosso,Trarza,349,266,1,2,263,179,51,1,27,0,5
Timbedra,Tintane,Hodh El Gharbi,346,280,1,3,276,244,8,0,3,0,21
Ecole Bameira,Tichit,Tagant,82,63,0,0,63,61,0,0,0,0,2
Ajnet El khatt,Néma,Hodh Chargui,136,79,2,4,73,56,0,0,0,7,10
Ecole Amdeir,Atar,Adrar,432,280,5,3,272,211,6,3,0,0,52
Ecole Houssein,Arafat,Nouakchott Sud,548,430,14,2,414,216,57,10,8,1,122
Ecole Jima,Kiffa,Assaba,365,186,1,2,183,166,2,0,0,0,15
Bekra,Néma,Hodh Chargui,361,293,43,0,250,228,4,0,1,0,17
Leghligue Nord ecole,Koubenni,Hodh El Gharbi,331,171,5,0,166,85,22,5,0,0,54
Ecole El Aydi,Rosso,Trarza,344,198,7,1,190,44,25,6,1,0,114
Dispensaire,Aleg,Brakna,442,242,3,3,236,155,6,6,0,3,66
Aerephonde,Kaédi,Gorgol,292,237,10,13,214,32,51,0,125,1,5
Collège Mata Moulana,R'Kiz,Trarza,394,168,12,0,156,96,27,7,1,0,25
Ecole Lekhcheb,Tichit,Tagant,297,206,3,1,202,188,0,1,0,0,13
Ecole Talha,Riyad,Nouakchott Sud,459,351,18,6,327,52,109,3,7,0,39
Dispensaire,Néma,Hodh Chargui,548,253,5,0,248,205,88,1,124,2,41
Ecole Tiambene,Rosso,Trarza,282,180,11,0,169,64,1,0,0,1,9
Ecole Kouroudjel,Kiffa,Assaba,438,188,4,0,184,135,9,11,0,1,28
