,state_code,state,county,town,center,center_id,office_id,registered,voted,void,neutral,suffrage,candidate_votes,candidate
112,6,Trarza,Ouad Naga,Ouad Naga,Ecole Fondamentale,6,3,508,133,1,6,126,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
113,6,Trarza,Ouad Naga,Ouad Naga,Ecole Fondamentale,6,3,508,133,1,6,126,8,KANE Hamidou Baba (Kane)
114,5,Brakna,Boghé,Boghé,Ecole 2 Boghé,6,2,374,272,5,4,263,91,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
115,5,Brakna,Boghé,Boghé,Ecole 2 Boghé,6,2,374,272,5,4,263,8,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
116,5,Brakna,Boghé,Boghé,Ecole 2 Boghé,6,2,374,272,5,4,263,87,Biram Dah Dah ABEID (Biram)
117,5,Brakna,Boghé,Boghé,Ecole 2 Boghé,6,2,374,272,5,4,263,8,Mohamed Sidi MAOULOUD (Maouloud)
118,5,Brakna,Boghé,Boghé,Ecole 2 Boghé,6,2,374,272,5,4,263,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
119,5,Brakna,Boghé,Boghé,Ecole 2 Boghé,6,2,374,272,5,4,263,69,KANE Hamidou Baba (Kane)
120,5,Brakna,Aleg,Aghchourguit,Avernane,12,1,161,103,1,0,102,85,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
121,5,Brakna,Aleg,Aghchourguit,Avernane,12,1,161,103,1,0,102,9,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
122,5,Brakna,Aleg,Aghchourguit,Avernane,12,1,161,103,1,0,102,7,Biram Dah Dah ABEID (Biram)
123,5,Brakna,Aleg,Aghchourguit,Avernane,12,1,161,103,1,0,102,1,Mohamed Sidi MAOULOUD (Maouloud)
124,5,Brakna,Aleg,Aghchourguit,Avernane,12,1,161,103,1,0,102,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
125,5,Brakna,Aleg,Aghchourguit,Avernane,12,1,161,103,1,0,102,0,KANE Hamidou Baba (Kane)
126,1,Hodh Chargui,Bassiknou,Bassiknou,Hsey Lebyadh,7,1,308,148,11,4,133,83,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
127,1,Hodh Chargui,Bassiknou,Bassiknou,Hsey Lebyadh,7,1,308,148,11,4,133,36,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
128,1,Hodh Chargui,Bassiknou,Bassiknou,Hsey Lebyadh,7,1,308,148,11,4,133,9,Biram Dah Dah ABEID (Biram)
129,1,Hodh Chargui,Bassiknou,Bassiknou,Hsey Lebyadh,7,1,308,148,11,4,133,2,Mohamed Sidi MAOULOUD (Maouloud)
130,1,Hodh Chargui,Bassiknou,Bassiknou,Hsey Lebyadh,7,1,308,148,11,4,133,1,Mohamed Lemine El Mourteji El WAVI (Wavi)
131,1,Hodh Chargui,Bassiknou,Bassiknou,Hsey Lebyadh,7,1,308,148,11,4,133,2,KANE Hamidou Baba (Kane)
132,1,Hodh Chargui,Bassiknou,Dhar,Lohiat,11,1,220,123,0,0,123,120,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
133,1,Hodh Chargui,Bassiknou,Dhar,Lohiat,11,1,220,123,0,0,123,2,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
134,1,Hodh Chargui,Bassiknou,Dhar,Lohiat,11,1,220,123,0,0,123,1,Biram Dah Dah ABEID (Biram)
135,1,Hodh Chargui,Bassiknou,Dhar,Lohiat,11,1,220,123,0,0,123,0,Mohamed Sidi MAOULOUD (Maouloud)
136,1,Hodh Chargui,Bassiknou,Dhar,Lohiat,11,1,220,123,0,0,123,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
137,1,Hodh Chargui,Bassiknou,Dhar,Lohiat,11,1,220,123,0,0,123,0,KANE Hamidou Baba (Kane)
138,1,Hodh Chargui,Bassiknou,Bassiknou,Hotel de Ville,6,2,410,183,10,3,170,131,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
