office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes,gaz_perct,biram_perct,mewloud_perct,kane_perct,wavi_perct,boubacar_perct,turnout
Collège Ghabou,Ghabou,Guidimagha,491,326,9,4,313,136,68,3,46,1,59,0.43450479233226835,0.21725239616613418,0.009584664536741214,0.14696485623003194,0.003194888178913738,0.18849840255591055,66.4
bureau service elevage,Keur Macène,Trarza,384,276,3,1,272,230,12,0,0,0,30,0.8455882352941176,0.04411764705882353,0.0,0.0,0.0,0.11029411764705882,71.88
Ecole Fondamentale,Ouad Naga,Trarza,500,98,0,3,95,18,13,2,2,3,57,0.18947368421052632,0.1368421052631579,0.021052631578947368,0.021052631578947368,0.031578947368421054,0.6,19.6
Ecole N'beiket Lahwach,N'beiket Lahwach,Hodh Chargui,450,166,17,0,149,116,8,1,0,6,18,0.7785234899328859,0.053691275167785234,0.006711409395973154,0.0,0.040268456375838924,0.12080536912751678,36.89
Elbeled Elemine,Magtalahjar,Brakna,162,149,8,0,141,134,1,0,0,0,6,0.950354609929078,0.0070921985815602835,0.0,0.0,0.0,0.0425531914893617,91.98
Hotel de Ville,Magtalahjar,Brakna,521,257,5,1,251,106,38,6,8,0,93,0.42231075697211157,0.15139442231075698,0.02390438247011952,0.03187250996015936,0.0,0.3705179282868526,49.33
Pont,Koubenni,Hodh El Gharbi,373,170,5,0,165,100,7,2,0,1,55,0.6060606060606061,0.04242424242424243,0.012121212121212121,0.0,0.006060606060606061,0.3333333333333333,45.58
Ecole 4,Kiffa,Assaba,445,257,4,13,240,102,92,9,10,3,24,0.425,0.38333333333333336,0.0375,0.041666666666666664,0.0125,0.1,57.75
Maison du Livre,Amourj,Hodh Chargui,352,168,5,0,163,130,9,1,0,0,23,0.7975460122699386,0.05521472392638037,0.006134969325153374,0.0,0.0,0.1411042944785276,47.73
Ecole 1 Moudjeria,Moudjeria,Tagant,406,230,2,0,228,167,9,29,0,0,23,0.7324561403508771,0.039473684210526314,0.12719298245614036,0.0,0.0,0.10087719298245613,56.65
